objid,objid_raw,datetime,datetime_raw,parent,parent_raw,type,type_raw,name,name_raw,status,status_raw,message,message_raw
12521,12521,15-05-2024 17:02:01,45427.4805671412,{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0.03 #/s<div class=""moreicon""></div></div>",0.03 #/s
12349,12349,15-05-2024 17:02:00,45427.4805653241,10.100.41.111,10.100.41.111,Redfish System Health,paessler.redfish.system_health_sensor.40,System Health: System (CNIVC007BF0442),System Health: System (CNIVC007BF0442),Unknown,601,"<div class=""logmessage"">No data since 15-05-2024 16:59:17<div class=""moreicon""></div></div>",No data since 15-05-2024 16:59:17
12975,12975,15-05-2024 17:01:55,45427.4804996875,{mgmt-tp-10-112-11-222} (10.112.11.222),{mgmt-tp-10-112-11-222} (10.112.11.222),Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings — 0.02 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings — 0.02 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
5014,5014,15-05-2024 17:01:50,45427.4804398264,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF],{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12506,12506,15-05-2024 17:01:45,45427.4803819676,{idrac-jp-10-100-11-43} (10.100.11.43) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-43} (10.100.11.43) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
3615,3615,15-05-2024 17:01:24,45427.4801472454,{isp-jp-172-60-60-1} (172.60.60.1) [EdgeCoreS5520-18X] @Rack_05 [CDC-105],{isp-jp-172-60-60-1} (172.60.60.1) [EdgeCoreS5520-18X] @Rack_05 [CDC-105],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12521,12521,15-05-2024 17:01:01,45427.4798727431,{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
12355,12355,15-05-2024 17:00:58,45427.4798452546,10.100.41.112,10.100.41.112,Redfish System Health,paessler.redfish.system_health_sensor.40,System Health: System (CN7475173U0571),System Health: System (CN7475173U0571),Up,607,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
10359,10359,15-05-2024 17:00:57,45427.4798378472,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
3615,3615,15-05-2024 17:00:54,45427.479802037,{isp-jp-172-60-60-1} (172.60.60.1) [EdgeCoreS5520-18X] @Rack_05 [CDC-105],{isp-jp-172-60-60-1} (172.60.60.1) [EdgeCoreS5520-18X] @Rack_05 [CDC-105],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.10 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.10 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
5014,5014,15-05-2024 17:00:50,45427.4797454398,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF],{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.05 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.05 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10695,10695,15-05-2024 17:00:15,45427.4793414699,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.02 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.02 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
12483,12483,15-05-2024 17:00:04,45427.4792130787,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12521,12521,15-05-2024 17:00:01,45427.4791783565,{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
7326,7326,15-05-2024 16:59:51,45427.4790682292,{cust-jp-10-100-11-201} (10.100.11.201) [Cisco-Nexus 3048 Chassis] @Rack_01 [CDC-105],{cust-jp-10-100-11-201} (10.100.11.201) [Cisco-Nexus 3048 Chassis] @Rack_01 [CDC-105],SNMP Cisco System Health,snmpciscosystemhealth,System Health Other,System Health Other,Warning,609,"<div class=""logmessage"">0 mdBm (Ethernet1/49(dBm)_26595) is above the warning limit of -1,000 mdBm in Ethernet1/49(dBm)_26595 — 0 mdBm (Ethernet1/50(dBm)_26611) is above the warning limit of -1,000 mdBm in Ethernet1/50(dBm)_26611<div class=""moreicon""></div></div>","0 mdBm (Ethernet1/49(dBm)_26595) is above the warning limit of -1,000 mdBm in Ethernet1/49(dBm)_26595 — 0 mdBm (Ethernet1/50(dBm)_26611) is above the warning limit of -1,000 mdBm in Ethernet1/50(dBm)_26611"
2931,2931,15-05-2024 16:59:37,45427.4789006019,{mgmt-tp-10-112-11-203} (10.112.11.203) [CISCO-WS-C3750X-48P] @Rack_L16  [TP-GF],{mgmt-tp-10-112-11-203} (10.112.11.203) [CISCO-WS-C3750X-48P] @Rack_L16  [TP-GF],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12349,12349,15-05-2024 16:59:17,45427.4786789005,10.100.41.111,10.100.41.111,Redfish System Health,paessler.redfish.system_health_sensor.40,System Health: System (CNIVC007BF0442),System Health: System (CNIVC007BF0442),Up,607,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
10695,10695,15-05-2024 16:59:14,45427.4786458102,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12483,12483,15-05-2024 16:59:03,45427.4785185069,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
12521,12521,15-05-2024 16:59:00,45427.4784836111,{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10359,10359,15-05-2024 16:58:57,45427.4784490625,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10591,10591,15-05-2024 16:58:48,45427.4783349653,192.168.101.42,192.168.101.42,SNMP Traffic 64bit,snmptraffic,(002) ens33 Traffic,(002) ens33 Traffic,Up,607,"<div class=""logmessage"">0.04 Mbit/s<div class=""moreicon""></div></div>",0.04 Mbit/s
12506,12506,15-05-2024 16:58:44,45427.4782984375,{idrac-jp-10-100-11-43} (10.100.11.43) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-43} (10.100.11.43) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
11123,11123,15-05-2024 16:58:42,45427.4782640741,{isp-wr-gc-192-168-100-224} (192.168.100.224) [CCR2116-12G-4S+] @Rack_D3,{isp-wr-gc-192-168-100-224} (192.168.100.224) [CCR2116-12G-4S+] @Rack_D3,Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
2931,2931,15-05-2024 16:58:37,45427.4782073032,{mgmt-tp-10-112-11-203} (10.112.11.203) [CISCO-WS-C3750X-48P] @Rack_L16  [TP-GF],{mgmt-tp-10-112-11-203} (10.112.11.203) [CISCO-WS-C3750X-48P] @Rack_L16  [TP-GF],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.02 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.02 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
10695,10695,15-05-2024 16:58:15,45427.4779514236,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.02 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.02 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
12483,12483,15-05-2024 16:58:04,45427.4778241204,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12349,12349,15-05-2024 16:58:01,45427.4777903009,10.100.41.111,10.100.41.111,Redfish System Health,paessler.redfish.system_health_sensor.40,System Health: System (CNIVC007BF0442),System Health: System (CNIVC007BF0442),Unknown,601,"<div class=""logmessage"">No data since 15-05-2024 16:55:17<div class=""moreicon""></div></div>",No data since 15-05-2024 16:55:17
11123,11123,15-05-2024 16:57:42,45427.4775695023,{isp-wr-gc-192-168-100-224} (192.168.100.224) [CCR2116-12G-4S+] @Rack_D3,{isp-wr-gc-192-168-100-224} (192.168.100.224) [CCR2116-12G-4S+] @Rack_D3,Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.08 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.08 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
12483,12483,15-05-2024 16:57:03,45427.4771295486,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
12521,12521,15-05-2024 16:57:00,45427.4770948264,{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
10591,10591,15-05-2024 16:56:48,45427.4769447338,192.168.101.42,192.168.101.42,SNMP Traffic 64bit,snmptraffic,(002) ens33 Traffic,(002) ens33 Traffic,Warning,609,"<div class=""logmessage"">1 #/s (Discards In) is above the warning limit of 1 #/s in Discards In<div class=""moreicon""></div></div>",1 #/s (Discards In) is above the warning limit of 1 #/s in Discards In
12506,12506,15-05-2024 16:56:44,45427.4769096528,{idrac-jp-10-100-11-43} (10.100.11.43) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-43} (10.100.11.43) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
9878,9878,15-05-2024 16:56:23,45427.4766552315,{storage-cdc-gc-10-111-11-214} (10.111.11.214) [EdgeCore_AS7712-32X] @Rack_D05 [GC-3F],{storage-cdc-gc-10-111-11-214} (10.111.11.214) [EdgeCore_AS7712-32X] @Rack_D05 [GC-3F],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
10579,10579,15-05-2024 16:56:21,45427.4766389583,{mgmt-jp-172.60.60.144} (172.60.60.144) CISCO{WS-C3560X-48},{mgmt-jp-172.60.60.144} (172.60.60.144) CISCO{WS-C3560X-48},Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
10695,10695,15-05-2024 16:56:14,45427.4765624653,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
10577,10577,15-05-2024 16:56:02,45427.4764187037,{mgmt-jp-172.60.60.143} (172.60.60.143) CISCO{WS-C3560X-48},{mgmt-jp-172.60.60.143} (172.60.60.143) CISCO{WS-C3560X-48},Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12521,12521,15-05-2024 16:56:00,45427.4764004398,{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
7326,7326,15-05-2024 16:55:51,45427.4762903125,{cust-jp-10-100-11-201} (10.100.11.201) [Cisco-Nexus 3048 Chassis] @Rack_01 [CDC-105],{cust-jp-10-100-11-201} (10.100.11.201) [Cisco-Nexus 3048 Chassis] @Rack_01 [CDC-105],SNMP Cisco System Health,snmpciscosystemhealth,System Health Other,System Health Other,Down,608,"<div class=""logmessage"">0 mdBm (Ethernet1/49(dBm)_26595) is above the warning limit of -1,000 mdBm in Ethernet1/49(dBm)_26595 — -30,000 mdBm (Ethernet1/50(dBm)_26611) is below the error limit of -15,086 mdBm in Ethernet1/50(dBm)_26611. -13970<div class=""moreicon""></div></div>","0 mdBm (Ethernet1/49(dBm)_26595) is above the warning limit of -1,000 mdBm in Ethernet1/49(dBm)_26595 — -30,000 mdBm (Ethernet1/50(dBm)_26611) is below the error limit of -15,086 mdBm in Ethernet1/50(dBm)_26611. -13970"
9878,9878,15-05-2024 16:55:23,45427.4759608449,{storage-cdc-gc-10-111-11-214} (10.111.11.214) [EdgeCore_AS7712-32X] @Rack_D05 [GC-3F],{storage-cdc-gc-10-111-11-214} (10.111.11.214) [EdgeCore_AS7712-32X] @Rack_D05 [GC-3F],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10579,10579,15-05-2024 16:55:21,45427.4759438426,{mgmt-jp-172.60.60.144} (172.60.60.144) CISCO{WS-C3560X-48},{mgmt-jp-172.60.60.144} (172.60.60.144) CISCO{WS-C3560X-48},Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
12349,12349,15-05-2024 16:55:17,45427.4758950231,10.100.41.111,10.100.41.111,Redfish System Health,paessler.redfish.system_health_sensor.40,System Health: System (CNIVC007BF0442),System Health: System (CNIVC007BF0442),Up,607,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
10695,10695,15-05-2024 16:55:14,45427.4758678935,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.02 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.02 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
10577,10577,15-05-2024 16:55:02,45427.4757248611,{mgmt-jp-172.60.60.143} (172.60.60.143) CISCO{WS-C3560X-48},{mgmt-jp-172.60.60.143} (172.60.60.143) CISCO{WS-C3560X-48},Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
12521,12521,15-05-2024 16:55:01,45427.4757060532,{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
10591,10591,15-05-2024 16:54:48,45427.4755557755,192.168.101.42,192.168.101.42,SNMP Traffic 64bit,snmptraffic,(002) ens33 Traffic,(002) ens33 Traffic,Up,607,"<div class=""logmessage"">0.02 Mbit/s<div class=""moreicon""></div></div>",0.02 Mbit/s
11124,11124,15-05-2024 16:54:47,45427.4755442014,{isp-wr-gc-192-168-100-223} (192.168.100.223) [CCR2116-12G-4S+] @Rack_D2,{isp-wr-gc-192-168-100-223} (192.168.100.223) [CCR2116-12G-4S+] @Rack_D2,Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12483,12483,15-05-2024 16:54:03,45427.4750461921,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12349,12349,15-05-2024 16:54:01,45427.4750147222,10.100.41.111,10.100.41.111,Redfish System Health,paessler.redfish.system_health_sensor.40,System Health: System (CNIVC007BF0442),System Health: System (CNIVC007BF0442),Unknown,601,"<div class=""logmessage"">No data since 15-05-2024 16:51:17<div class=""moreicon""></div></div>",No data since 15-05-2024 16:51:17
